"Vel:0","Vel:1","Vel:2","Press","T",":0",":1",":2"
-0.00016942,1.1206e-06,0,-0.048418,273.6,0.0063,0.0002,0
-0.00017044,1.244e-06,0,-0.048358,273.6,0.0064,0.0002,0
-0.00017159,1.363e-06,0,-0.048297,273.59,0.0065,0.0002,0
-0.00017284,1.479e-06,0,-0.048235,273.59,0.0066,0.0002,0
-0.0001742,1.5942e-06,0,-0.048172,273.58,0.0067,0.0002,0
-0.00017568,1.7127e-06,0,-0.048108,273.57,0.0068,0.0002,0
-0.00017727,1.8393e-06,0,-0.048043,273.57,0.0069,0.0002,0
-0.00017898,1.98e-06,0,-0.047977,273.56,0.007,0.0002,0
-0.00018084,2.1409e-06,0,-0.047909,273.55,0.0071,0.0002,0
-0.00018285,2.3282e-06,0,-0.04784,273.54,0.0072,0.0002,0
-0.00018505,2.5468e-06,0,-0.04777,273.54,0.0073,0.0002,0
-0.00018746,2.7999e-06,0,-0.047698,273.53,0.0074,0.0002,0
-0.00019011,3.0873e-06,0,-0.047624,273.52,0.0075,0.0002,0
-0.00019302,3.4046e-06,0,-0.047549,273.51,0.0076,0.0002,0
-0.00019621,3.7417e-06,0,-0.047471,273.5,0.0077,0.0002,0
-0.00019968,4.0811e-06,0,-0.04739,273.5,0.0078,0.0002,0
-0.00020341,4.397e-06,0,-0.047307,273.49,0.0079,0.0002,0
-0.00020737,4.6538e-06,0,-0.047219,273.48,0.008,0.0002,0
-0.00021145,4.8051e-06,0,-0.047128,273.47,0.0081,0.0002,0
-0.00021555,4.7933e-06,0,-0.047032,273.46,0.0082,0.0002,0
-0.00021946,4.5504e-06,0,-0.04693,273.45,0.0083,0.0002,0
-0.00022293,3.9986e-06,0,-0.046823,273.44,0.0084,0.0002,0
-0.00022564,3.0541e-06,0,-0.04671,273.42,0.0085,0.0002,0
-0.0002272,1.6315e-06,0,-0.046591,273.41,0.0086,0.0002,0
-0.00022713,-3.4854e-07,0,-0.046465,273.4,0.0087,0.0002,0
-0.00022492,-2.9489e-06,0,-0.046334,273.39,0.0088,0.0002,0
-0.00022001,-6.2019e-06,0,-0.046199,273.37,0.0089,0.0002,0
-0.00021184,-1.0092e-05,0,-0.046062,273.36,0.009,0.0002,0
-0.00019992,-1.4533e-05,0,-0.045925,273.34,0.0091,0.0002,0
-0.00018388,-1.9342e-05,0,-0.045793,273.33,0.0092,0.0002,0
-0.0001636,-2.4211e-05,0,-0.045668,273.31,0.0093,0.0002,0
-0.00013929,-2.8672e-05,0,-0.045558,273.29,0.0094,0.0002,0
-0.00011167,-3.2063e-05,0,-0.045467,273.27,0.0095,0.0002,0
-8.211e-05,-3.3503e-05,0,-0.045402,273.25,0.0096,0.0002,0
-5.2766e-05,-3.1881e-05,0,-0.045367,273.22,0.0097,0.0002,0
-2.6673e-05,-2.5977e-05,0,-0.045366,273.2,0.0098,0.0002,0
-7.597e-06,-1.4975e-05,0,-0.045398,273.18,0.0099,0.0002,0
0,0,0,-0.045466,273.15,0.01,0.0002,0
0,0,0,-0.052646,275.15,0,0.0003,0
-2.8411e-05,0.00011907,0,-0.052899,274.88,0.0001,0.0003,0
-9.165e-05,0.00015322,0,-0.052984,274.63,0.0002,0.0003,0
-0.00016488,0.00014171,0,-0.05293,274.4,0.0003,0.0003,0
-0.00023292,0.00011023,0,-0.052793,274.21,0.0004,0.0003,0
-0.00028827,7.4674e-05,0,-0.052601,274.08,0.0005,0.0003,0
-0.00032862,4.311e-05,0,-0.052384,273.99,0.0006,0.0003,0
-0.00035491,1.8595e-05,0,-0.052161,273.93,0.0007,0.0003,0
-0.00036955,1.289e-06,0,-0.051945,273.89,0.0008,0.0003,0
-0.00037533,-9.9475e-06,0,-0.051742,273.86,0.0009,0.0003,0
-0.0003748,-1.66e-05,0,-0.051556,273.85,0.001,0.0003,0
-0.00037007,-2.0036e-05,0,-0.051386,273.83,0.0011,0.0003,0
-0.00036274,-2.1343e-05,0,-0.051232,273.83,0.0012,0.0003,0
-0.00035395,-2.1311e-05,0,-0.051094,273.82,0.0013,0.0003,0
-0.00034451,-2.0488e-05,0,-0.050968,273.82,0.0014,0.0003,0
-0.00033496,-1.9235e-05,0,-0.050852,273.81,0.0015,0.0003,0
-0.00032563,-1.7784e-05,0,-0.050747,273.81,0.0016,0.0003,0
-0.00031673,-1.6278e-05,0,-0.050649,273.8,0.0017,0.0003,0
-0.00030837,-1.4803e-05,0,-0.050557,273.8,0.0018,0.0003,0
-0.00030061,-1.3407e-05,0,-0.050471,273.79,0.0019,0.0003,0
-0.00029345,-1.2114e-05,0,-0.05039,273.79,0.002,0.0003,0
-0.00028688,-1.0934e-05,0,-0.050312,273.79,0.0021,0.0003,0
-0.00028088,-9.8674e-06,0,-0.050238,273.78,0.0022,0.0003,0
-0.0002754,-8.9083e-06,0,-0.050166,273.78,0.0023,0.0003,0
-0.00027042,-8.0484e-06,0,-0.050097,273.77,0.0024,0.0003,0
-0.00026588,-7.2776e-06,0,-0.050029,273.77,0.0025,0.0003,0
-0.00026175,-6.5853e-06,0,-0.049964,273.76,0.0026,0.0003,0
-0.00025801,-5.9607e-06,0,-0.049899,273.76,0.0027,0.0003,0
-0.00025461,-5.394e-06,0,-0.049837,273.76,0.0028,0.0003,0
-0.00025154,-4.8758e-06,0,-0.049775,273.75,0.0029,0.0003,0
-0.00024876,-4.3982e-06,0,-0.049715,273.75,0.003,0.0003,0
-0.00024626,-3.9545e-06,0,-0.049655,273.74,0.0031,0.0003,0
-0.00024403,-3.5392e-06,0,-0.049597,273.74,0.0032,0.0003,0
-0.00024205,-3.1488e-06,0,-0.049539,273.74,0.0033,0.0003,0
-0.00024029,-2.781e-06,0,-0.049482,273.73,0.0034,0.0003,0
-0.00023876,-2.4348e-06,0,-0.049426,273.73,0.0035,0.0003,0
-0.00023744,-2.1106e-06,0,-0.04937,273.72,0.0036,0.0003,0
-0.00023631,-1.8099e-06,0,-0.049315,273.72,0.0037,0.0003,0
-0.00023535,-1.5345e-06,0,-0.049261,273.72,0.0038,0.0003,0
-0.00023456,-1.2867e-06,0,-0.049207,273.71,0.0039,0.0003,0
-0.0002339,-1.0685e-06,0,-0.049154,273.71,0.004,0.0003,0
-0.00023337,-8.8135e-07,0,-0.049101,273.7,0.0041,0.0003,0
-0.00023295,-7.2584e-07,0,-0.049048,273.7,0.0042,0.0003,0
-0.0002326,-6.0124e-07,0,-0.048996,273.7,0.0043,0.0003,0
-0.00023232,-5.0545e-07,0,-0.048944,273.69,0.0044,0.0003,0
-0.00023209,-4.3492e-07,0,-0.048893,273.69,0.0045,0.0003,0
-0.00023188,-3.847e-07,0,-0.048841,273.69,0.0046,0.0003,0
-0.0002317,-3.4866e-07,0,-0.04879,273.68,0.0047,0.0003,0
-0.00023152,-3.1983e-07,0,-0.04874,273.68,0.0048,0.0003,0
-0.00023136,-2.9076e-07,0,-0.048689,273.67,0.0049,0.0003,0
-0.0002312,-2.5401e-07,0,-0.048639,273.67,0.005,0.0003,0
-0.00023105,-2.0263e-07,0,-0.048588,273.67,0.0051,0.0003,0
-0.00023093,-1.3059e-07,0,-0.048538,273.66,0.0052,0.0003,0
-0.00023084,-3.3219e-08,0,-0.048488,273.66,0.0053,0.0003,0
-0.0002308,9.2541e-08,0,-0.048438,273.65,0.0054,0.0003,0
-0.00023083,2.4792e-07,0,-0.048388,273.65,0.0055,0.0003,0
-0.00023094,4.3229e-07,0,-0.048338,273.64,0.0056,0.0003,0
-0.00023116,6.4326e-07,0,-0.048288,273.64,0.0057,0.0003,0
-0.00023149,8.769e-07,0,-0.048237,273.63,0.0058,0.0003,0
-0.00023196,1.1281e-06,0,-0.048186,273.63,0.0059,0.0003,0
-0.00023258,1.3912e-06,0,-0.048135,273.62,0.006,0.0003,0
-0.00023334,1.6603e-06,0,-0.048082,273.62,0.0061,0.0003,0
-0.00023426,1.9299e-06,0,-0.04803,273.61,0.0062,0.0003,0
-0.00023533,2.1957e-06,0,-0.047977,273.61,0.0063,0.0003,0
